"Display Block below Price","Block unterhalb der Preise darstellen"
"Display tax info and shipping cost link below the price on all pages","Steuerinformationen und Link zur Versandkostenseite auf allen Seiten unterhalb der Preise darstellen"
"CMS Page for Shipping Info","CMS-Seite für Versandkosten"
"No Page","Keine Seite"
"No Block","Kein Block"
"Incl. Tax, plus <a href=""%s"">Shipping Cost</a>","Inkl. MwSt., zzgl. <a href=""%s"">Versandkosten</a>"
"Incl. Tax","Inkl. MwSt."

"Imprint","Impressum"
"Account","Kontonummer"
"Account owner","Kontoinhaber"
"Bank number","BLZ"
"Bank name","Kreditinstitut"
"CEO","Geschäftsführer"
"E-Mail","E-Mail"
"Fax","Fax"
"Financial office","Finanzamt"
"IBAN","IBAN"
"Register court","Registergericht"
"Register number","HRB-Nummer"
"SWIFT","SWIFT"
"Tax number","Steuernummer"
"Telephone","Telefon"
"Web","Web"
"VAT-ID","USt.Id."
"Company 1","Firma 1"
"Company 2","Firma 2"
"Street","Straße"
"Zip","PLZ"
"City","Ort"
"Telephone","Telefon"
"Tax number","Steuernummer"
"Register court","Zuständiges Gericht"
"Financial office","Zuständiges Finanzamt"
"CEO","Geschäftsführer / Vorstand"
"Register number","HRB Nummer"
"Reference for business rules (physician, physician...)","Verweis auf berufliche Regelungen (z.B. für Ärzte, Apotheker)"
"Account owner","Kontoinhaber"
"Account","Kontonummer"
"Bank number","BLZ"
"Bank name","Kreditinstitut"
