"Display Block below Price","Display Block below Price"
"Display tax info and shipping cost link below the price on all pages","Display tax info and shipping cost link below the price on all pages"
"Display Delivery time on Category Pages","Display Delivery time on Category Pages"
"CMS Page for Shipping Info","CMS Page for Shipping Info"
"Show ""incl. Shipping Cost"" instead of ""excl. Shipping Cost""","Show ""incl. Shipping Cost"" instead of ""excl. Shipping Cost"""
"Show ""incl. Shipping Cost"" instead of ""excl. Shipping Cost""","Show ""incl. Shipping Cost"" instead of ""excl. Shipping Cost"""
"No Page","No Page"
"No Block","No Block"
"Incl. Tax","Incl. Tax"
"Incl. %s Tax","Incl. %s Tax"
"Excl. %s Tax","Excl. %s Tax"
"excl. <a href=""%s"">Shipping Cost</a>","excl. <a href=""%s"">Shipping Cost</a>"
"incl. <a href=""%s"">Shipping Cost</a>","incl. <a href=""%s"">Shipping Cost</a>"
"Display Product Weight below Price","Display Product Weight below Price"
"Unit for Product Weight","Unit for Product Weight"
"e.g. g, kg, lb, ...","e.g. g, kg, lb, ..."
"Shipping Weight %s","Shipping Weight %s"

"If you want to add additional StoreViews (i.e. for multiple languages), please do so before submitting this form.","If you want to add additional StoreViews (i.e. for multiple languages), please do so before submitting this form."
"Skip installation","Skip installation"
"MageSetup has been installed.","MageSetup has been installed."
"Click <a href=""%s"">here</a> to set up your pages, blocks, emails and tax settings.","Click <a href=""%s"">here</a> to set up your pages, blocks, emails and tax settings."
"Please choose the requested setups:","Please choose the requested setups:"
"Run MageSetup","Run MageSetup"
"Update System Config Settings","Update System Config Settings"
"i.e. newsletter confirmation, account confirmation, ..","i.e. newsletter confirmation, account confirmation, .."
"Create CMS Pages and Blocks","Create CMS Pages and Blocks"
"i.e. shipping, conditions, revocation","i.e. shipping, conditions, revocation"
"Create Checkout Agreements","Create Checkout Agreements"
"Conditions","Conditions"
"Display Checkbox on Frontend","Display Checkbox on Frontend"
"Require Confirmation on Customer Registration and/or Checkout","Require Confirmation on Customer Registration and/or Checkout"
"Language Package for CMS Pages/Blocks/Agreements","Language Package for CMS Pages/Blocks/Agreements"
"Create Email Templates","Create Email Templates"
"German Email Templates","German Email Templates"
"Configure Tax","Configure Tax"
"Shipping from Germany","Shipping from Germany"
