"Display Block below Price","Afișare Bloc sub Preț"
"Display tax info and shipping cost link below the price on all pages","Afișare legătură informații taxe și costuri expediere sub preț pe toate paginile"
"Display Delivery time on Category Pages","Afișare Timp Livrare pe Paginile Categoriilor"
"CMS Page for Shipping Info","Pagină CMS pentru Informații Expediere"
"Show \"incl. Shipping Cost\" instead of \"excl. Shipping Cost\"","Afișare \"cu Costuri Expediere\" în loc de \"fără Costuri Expediere\""
"No Page","Nicio Pagină"
"No Block","Niciun Bloc"
"Incl. Tax","Cu Taxe"
"Incl. %s Tax","Cu Taxe %s"
"Excl. %s Tax","Fără Taxe %s"
"excl. <a href=\"%s\">Shipping Cost</a>","fără <a href=\"%s\">Costuri Expediere</a>"
"incl. <a href=\"%s\">Shipping Cost</a>","cu <a href=\"%s\">Costuri Expediere</a>"
"Display Product Weight below Price","Afișare Greutate Produs sub Preț"
"Unit for Product Weight","Unitate pentru Greutate Produs"
"e.g. g, kg, lb, ...","ex. g, kg, lb"
"Shipping Weight %s","Greutate Expediere %s"
"If you want to add additional StoreViews (i.e. for multiple languages), please do so before submitting this form.","Dacă doriți să adăugați Vitrine suplimentare (de ex. pentru limbi multiple), vă rugăm să o faceți înaintea trimiterii acestui formular."
"Skip installation","Trecere peste instalare"
"MageSetup has been installed.","MageSetup a fost instalat."
"Click <a href=\"%s\">here</a> to set up your pages, blocks, emails and tax settings.","Click <a href=\"%s\">aici</a> pentru a vă seta paginile, blocurile, e-mail-urile și setările de taxe."
"Please choose the requested setups:","Selectați instalările necesare:"
"Run MageSetup","Rulare MageSetup"
"Update System Config Settings","Actualizare Setări Configurare Sistem"
"i.e. newsletter confirmation, account confirmation, ..","adică confirmare abonare, informații cont..."
"Create CMS Pages and Blocks","Creare Blocuri și Pagini CMS"
"i.e. shipping, conditions, revocation","adică expediere, condiții, revocare"
"Create Checkout Agreements","Creare Acorduri Finalizare Comandă"
"i.e. terms and conditions, cancellation policy","Condiții"
"Display Checkbox on Frontend","Afișare Casetă pe Interfață Client"
"Require Confirmation on Customer Registration and/or Checkout","Solicitare Confirmare pentru Înregistrare Client și/sau Finalizare Comandă"
"Language Package for CMS Pages/Blocks/Agreements","Pachet Limbă pentru Pagini/Blocuri/Acorduri CMS"
"Create Email Templates","Creare Șabloane E-mail"
"German Email Templates","Șabloane E-mail Germane"
"Configure Tax","Configurare Taxe"
"Shipping from Germany","Expediere din Germania"
"All tax settings will be overwritten!","Toate setările de taxe vor fi suprascrise!"
"Update Product Tax Classes","Actualizare Clase Taxare Produs"
"Update Customer Tax Classes","Actualizare Clase Taxare Client"
"Old","Vechi"
"New","Nou"
"No tax","Nicio taxă"
"Newsletter Subscribers Status History","Istoric Status Abonați Buletin"
"MageSetup: CMS Blocks and Pages have been created.","MageSetup: Blocurile și Paginile CMS au fost create."
"MageSetup: Checkout Agreements have been created.","MageSetup: Acordurile Finalizare Comandă au fost create."
"MageSetup: Email Templates have been created.","MageSetup: Șabloanele E-mail au fost create."
"MageSetup: Tax Settings have been created.","MageSetup: Setările de Taxe au fost create."
"MageSetup: Product Tax Classes have been updated.","MageSetup: Clasele de Taxare Produs au fost actualizate."
"MageSetup: System Config Settings have been updated.","MageSetup: Setările de Configurare Sistem au fost actualizate."
"Imprint","Imprimare"
"Account","Cont"
"Account owner","Proprietar cont"
"Bank number","Număr bancă"
"Bank name","Nume bancă"
"CEO","CEO"
"Owner","Proprietar"
"Responsible according to § 5 TMG","Responsabil conform § 5 TMG"
"Responsible for content","Responsabil pentru conținut"
"Responsible for content address","Responsabil pentru adresă conținut"
"Responsible in the interests of the press law","Responsabil pentru interesele legilor de presă"
"E-Mail","E-Mail"
"Fax","Fax"
"Financial office","Birou financiar"
"IBAN","IBAN"
"Clearing","Curățare"
"Register court","Registru curte"
"Register number","Registru număr"
"SWIFT","SWIFT"
"BIC/SWIFT","BIC/SWIFT"
"Tax number","Număr taxă"
"Telephone","Telefon"
"Supplementary Information for Telephone","Informații Suplimentare pentru Telefon"
"Web","Web"
"VAT-ID","ID-TVA"
"Company 1","Companie 1"
"Company 2","Companie 2"
"Street","Strada"
"Zip","Cod postal"
"City","Oraș"
"Reference for business rules (physician, physician...)","Referințe pentru reguli de afacere (doctor, doctor...)"
"Authority (ECG)","Autoritate (ECG)"
"Shareholdings","Acționariate"
"Editorial Concept","Concept Editorial"
"relevant for Austrian shops","relevant pentru magazine Austriece"
"%s%%","%s%%"
"Recommended Extensions","Extensii Recomandate"
"Popular Payment Methods","Metode Populare de Plată"
"Ip anonymization","Anonimizare IP"
"Ensures that the ip address of the customers doesnt get involved into the tracking","Se asigură că adresa ip a clienților nu e implicată în urmărire"
"Dynamic Shipping Tax Class Calculation","Calculare Dinamică Clasă Taxare Expediere"
"Set to \"yes\" if you want to calculate the shipping tax rate based on the highest product tax rate in cart.<br /><b>ATTENTION:</b> This setting overwrites the \"Tax Class for Shipping\" setting above!","Setați pe \"da\" dacă doriți să calculați cota de taxare expediere pe baza celei mai mari cote de taxare produs din coș.<br /><b>ATENȚIE:</b> Setarea suprascrie setarea \"Clasă de Taxare pentru Expediere\" de mai sus!"
"Shipping from","Expediere de la"
"This setting is base for the tax rate setup!","Această setare reprezintă baza pentru setarea cotelor de taxare!"
"[Show]","[Afișare]"
"Visible in Checkout","Vizibil în Finalizare Comandă"
"Display Additional Information","Afișare Informații Suplimentare"
"Display content from text field below at the checkout confirm page directly above the checkout button","Afișare conținut din caseta text de mai jos în pagina de confirmare a finalizării comenzii direct deasupra butonului de finalizare comandă"
"Directory \"%s\" not found. Locale not installed?","Directorul \"%s\" negăsit. Localizare neinstalată?"
"Default Setting","Setare Implicită"
"Use Default Setting","Utilizare Setare Implicită"
"Select Locale","Selectare Localizare"
